Program,Org Name,Site Location,State,Speciality Description,Star Rating,API_Place_Search,API_Place_Detail
DES-Employment Support Service,APM Employment Services,NARRE WARREN,VIC,All Client Types,3,"[{'candidates': [{'geometry': {'location': {'lat': -38.0222609, 'lng': 145.3128762}, 'viewport': {'northeast': {'lat': -38.02104507010728, 'lng': 145.3140451798927}, 'southwest': {'lat': -38.02374472989273, 'lng': 145.3113455201073}}}, 'name': 'APM', 'opening_hours': {'open_now': False}, 'place_id': 'ChIJ35MAC1UX1moR_v_p3GA2qBc'}], 'status': 'OK'}]","[{'html_attributions': [], 'result': {'address_components': [{'long_name': 'Suite 3B, Level 2', 'short_name': 'Suite 3B, Level 2', 'types': ['subpremise']}, {'long_name': '58-60', 'short_name': '58-60', 'types': ['street_number']}, {'long_name': 'Victor Crescent', 'short_name': 'Victor Cres', 'types': ['route']}, {'long_name': 'Narre Warren', 'short_name': 'Narre Warren', 'types': ['locality', 'political']}, {'long_name': 'City of Casey', 'short_name': 'Casey', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Victoria', 'short_name': 'VIC', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Australia', 'short_name': 'AU', 'types': ['country', 'political']}, {'long_name': '3805', 'short_name': '3805', 'types': ['postal_code']}], 'formatted_address': 'Suite 3B, Level 2/58-60 Victor Cres, Narre Warren VIC 3805, Australia', 'formatted_phone_number': '(03) 8794 9532', 'url': 'https://maps.google.com/?cid=1704672248610815998', 'website': 'https://apm.net.au/?utm_source=google&utm_medium=organic&utm_campaign=gmb&utm_term=vic&utm_content=narre-warren'}, 'status': 'OK'}]"
DES-Employment Support Service,APM Employment Services,NEERIM SOUTH,VIC,All Client Types,3,"[{'candidates': [{'geometry': {'location': {'lat': -38.0149312, 'lng': 145.9547828}, 'viewport': {'northeast': {'lat': -38.01359092010728, 'lng': 145.9562409798927}, 'southwest': {'lat': -38.01629057989272, 'lng': 145.9535413201073}}}, 'name': 'APM', 'place_id': 'ChIJHQwjTtm7KWsRcWMrwy5svpI'}], 'status': 'OK'}]","[{'html_attributions': [], 'result': {'address_components': [{'long_name': 'Neerim South', 'short_name': 'Neerim South', 'types': ['locality', 'political']}, {'long_name': 'Baw Baw Shire', 'short_name': 'Baw Baw', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Victoria', 'short_name': 'VIC', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Australia', 'short_name': 'AU', 'types': ['country', 'political']}, {'long_name': '3831', 'short_name': '3831', 'types': ['postal_code']}], 'formatted_address': 'J D Algie Memorial Public Hall Main Road, Neerim South VIC 3831, Australia', 'formatted_phone_number': '(03) 5622 7010', 'url': 'https://maps.google.com/?cid=10574007923211199345', 'website': 'https://apm.net.au/?utm_source=google&utm_medium=organic&utm_campaign=gmb&utm_term=vic&utm_content=neerim-south'}, 'status': 'OK'}]"
DES-Employment Support Service,APM Employment Services,NORTH MELBOURNE,VIC,All Client Types,2,"[{'candidates': [{'geometry': {'location': {'lat': -37.8044069, 'lng': 144.9565749}, 'viewport': {'northeast': {'lat': -37.80304377010728, 'lng': 144.9578125798927}, 'southwest': {'lat': -37.80574342989272, 'lng': 144.9551129201073}}}, 'name': 'APM', 'opening_hours': {'open_now': False}, 'place_id': 'ChIJue43bORd1moRrY8RqfIY1Ik'}], 'status': 'OK'}]","[{'html_attributions': [], 'result': {'address_components': [{'long_name': '144', 'short_name': '144', 'types': ['street_number']}, {'long_name': 'Peel Street', 'short_name': 'Peel St', 'types': ['route']}, {'long_name': 'North Melbourne', 'short_name': 'North Melbourne', 'types': ['locality', 'political']}, {'long_name': 'Melbourne City', 'short_name': 'Melbourne', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Victoria', 'short_name': 'VIC', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Australia', 'short_name': 'AU', 'types': ['country', 'political']}, {'long_name': '3051', 'short_name': '3051', 'types': ['postal_code']}], 'formatted_address': '144 Peel St, North Melbourne VIC 3051, Australia', 'formatted_phone_number': '(03) 9326 7516', 'url': 'https://maps.google.com/?cid=9931590508756438957', 'website': 'https://apm.net.au/?utm_source=google&utm_medium=organic&utm_campaign=gmb&utm_term=vic&utm_content=north-melbourne'}, 'status': 'OK'}]"
DES-Employment Support Service,APM Employment Services,OAKLEIGH,VIC,All Client Types,3,"[{'candidates': [{'geometry': {'location': {'lat': -37.89991440000001, 'lng': 145.0890916}, 'viewport': {'northeast': {'lat': -37.89862517010728, 'lng': 145.0904292298927}, 'southwest': {'lat': -37.90132482989273, 'lng': 145.0877295701073}}}, 'name': 'APM', 'opening_hours': {'open_now': False}, 'place_id': 'ChIJ-XWM3pxr1moR_c5qn_0h9J4'}], 'status': 'OK'}]","[{'html_attributions': [], 'result': {'address_components': [{'long_name': '9-11', 'short_name': '9-11', 'types': ['street_number']}, {'long_name': 'Portman Street', 'short_name': 'Portman St', 'types': ['route']}, {'long_name': 'Oakleigh', 'short_name': 'Oakleigh', 'types': ['locality', 'political']}, {'long_name': 'Monash City', 'short_name': 'Monash', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Victoria', 'short_name': 'VIC', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Australia', 'short_name': 'AU', 'types': ['country', 'political']}, {'long_name': '3166', 'short_name': '3166', 'types': ['postal_code']}], 'formatted_address': '9-11 Portman St, Oakleigh VIC 3166, Australia', 'formatted_phone_number': '(03) 9569 4927', 'url': 'https://maps.google.com/?cid=11453817125495033597', 'website': 'https://apm.net.au/?utm_source=google&utm_medium=organic&utm_campaign=gmb&utm_term=vic&utm_content=oakleigh'}, 'status': 'OK'}]"
DES-Disability Management Service,APM Employment Services,ORBOST,VIC,Mental Health,5,"[{'candidates': [{'geometry': {'location': {'lat': -37.7077655, 'lng': 148.45873}, 'viewport': {'northeast': {'lat': -37.70649222010728, 'lng': 148.4600626798927}, 'southwest': {'lat': -37.70919187989273, 'lng': 148.4573630201072}}}, 'name': 'APM', 'place_id': 'ChIJD2x5_MfLOmsRu6ZnBgZokW0'}], 'status': 'OK'}]","[{'html_attributions': [], 'result': {'address_components': [{'long_name': 'Orbost Telecentre', 'short_name': 'Orbost Telecentre', 'types': ['point_of_interest', 'establishment']}, {'long_name': '21', 'short_name': '21', 'types': ['street_number']}, {'long_name': 'Ruskin Street', 'short_name': 'Ruskin St', 'types': ['route']}, {'long_name': 'Orbost', 'short_name': 'Orbost', 'types': ['locality', 'political']}, {'long_name': 'East Gippsland Shire', 'short_name': 'East Gippsland', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Victoria', 'short_name': 'VIC', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Australia', 'short_name': 'AU', 'types': ['country', 'political']}, {'long_name': '3888', 'short_name': '3888', 'types': ['postal_code']}], 'formatted_address': 'Orbost Telecentre, 21 Ruskin St, Orbost VIC 3888, Australia', 'formatted_phone_number': '(03) 5143 0571', 'url': 'https://maps.google.com/?cid=7895205996843738811', 'website': 'https://apm.net.au/?utm_source=google&utm_medium=organic&utm_campaign=gmb&utm_term=vic&utm_content=orbost'}, 'status': 'OK'}]"
DES-Employment Support Service,APM Employment Services,ORBOST,VIC,All Client Types,4,"[{'candidates': [{'geometry': {'location': {'lat': -37.7077655, 'lng': 148.45873}, 'viewport': {'northeast': {'lat': -37.70649222010728, 'lng': 148.4600626798927}, 'southwest': {'lat': -37.70919187989273, 'lng': 148.4573630201072}}}, 'name': 'APM', 'place_id': 'ChIJD2x5_MfLOmsRu6ZnBgZokW0'}], 'status': 'OK'}]","[{'html_attributions': [], 'result': {'address_components': [{'long_name': 'Orbost Telecentre', 'short_name': 'Orbost Telecentre', 'types': ['point_of_interest', 'establishment']}, {'long_name': '21', 'short_name': '21', 'types': ['street_number']}, {'long_name': 'Ruskin Street', 'short_name': 'Ruskin St', 'types': ['route']}, {'long_name': 'Orbost', 'short_name': 'Orbost', 'types': ['locality', 'political']}, {'long_name': 'East Gippsland Shire', 'short_name': 'East Gippsland', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Victoria', 'short_name': 'VIC', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Australia', 'short_name': 'AU', 'types': ['country', 'political']}, {'long_name': '3888', 'short_name': '3888', 'types': ['postal_code']}], 'formatted_address': 'Orbost Telecentre, 21 Ruskin St, Orbost VIC 3888, Australia', 'formatted_phone_number': '(03) 5143 0571', 'url': 'https://maps.google.com/?cid=7895205996843738811', 'website': 'https://apm.net.au/?utm_source=google&utm_medium=organic&utm_campaign=gmb&utm_term=vic&utm_content=orbost'}, 'status': 'OK'}]"
DES-Employment Support Service,APM Employment Services,PAKENHAM,VIC,All Client Types,3,"[{'candidates': [{'geometry': {'location': {'lat': -38.0773952, 'lng': 145.482098}, 'viewport': {'northeast': {'lat': -38.07614172010727, 'lng': 145.4832772798927}, 'southwest': {'lat': -38.07884137989272, 'lng': 145.4805776201073}}}, 'name': 'APM', 'opening_hours': {'open_now': False}, 'place_id': 'ChIJY59vagYe1moRIKqzgDYDsOA'}], 'status': 'OK'}]","[{'html_attributions': [], 'result': {'address_components': [{'long_name': '104', 'short_name': '104', 'types': ['street_number']}, {'long_name': 'Main Street', 'short_name': 'Main St', 'types': ['route']}, {'long_name': 'Pakenham', 'short_name': 'Pakenham', 'types': ['locality', 'political']}, {'long_name': 'Cardinia Shire', 'short_name': 'Cardinia', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Victoria', 'short_name': 'VIC', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Australia', 'short_name': 'AU', 'types': ['country', 'political']}, {'long_name': '3810', 'short_name': '3810', 'types': ['postal_code']}], 'formatted_address': '104 Main St, Pakenham VIC 3810, Australia', 'formatted_phone_number': '(03) 5943 0176', 'url': 'https://maps.google.com/?cid=16190444193019308576', 'website': 'https://apm.net.au/?utm_source=google&utm_medium=organic&utm_campaign=gmb&utm_term=vic&utm_content=pakenham'}, 'status': 'OK'}]"
DES-Employment Support Service,APM Employment Services,PRESTON,VIC,All Client Types,1,"[{'candidates': [{'geometry': {'location': {'lat': -37.7380675, 'lng': 145.0028171}, 'viewport': {'northeast': {'lat': -37.73661167010727, 'lng': 145.0041834298927}, 'southwest': {'lat': -37.73931132989271, 'lng': 145.0014837701073}}}, 'name': 'APM', 'opening_hours': {'open_now': False}, 'place_id': 'ChIJNfhu6VFF1moRsaT09d10ZfU'}], 'status': 'OK'}]","[{'html_attributions': [], 'result': {'address_components': [{'long_name': '249', 'short_name': '249', 'types': ['street_number']}, {'long_name': 'Murray Road', 'short_name': 'Murray Rd', 'types': ['route']}, {'long_name': 'Preston', 'short_name': 'Preston', 'types': ['locality', 'political']}, {'long_name': 'Darebin City', 'short_name': 'Darebin', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Victoria', 'short_name': 'VIC', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Australia', 'short_name': 'AU', 'types': ['country', 'political']}, {'long_name': '3072', 'short_name': '3072', 'types': ['postal_code']}], 'formatted_address': '249 Murray Rd, Preston VIC 3072, Australia', 'formatted_phone_number': '(03) 9471 1298', 'url': 'https://maps.google.com/?cid=17682668008603165873', 'website': 'https://apm.net.au/?utm_source=google&utm_medium=organic&utm_campaign=gmb&utm_term=vic&utm_content=preston'}, 'status': 'OK'}]"
DES-Employment Support Service,APM Employment Services,RESERVOIR,VIC,All Client Types,3,"[{'candidates': [{'geometry': {'location': {'lat': -37.696083, 'lng': 145.0124411}, 'viewport': {'northeast': {'lat': -37.69472257010727, 'lng': 145.0136964798928}, 'southwest': {'lat': -37.69742222989272, 'lng': 145.0109968201073}}}, 'name': 'APM', 'opening_hours': {'open_now': False}, 'place_id': 'ChIJOfaVCqJF1moRNltP5Qup4GQ'}, {'geometry': {'location': {'lat': -37.7380675, 'lng': 145.0028171}, 'viewport': {'northeast': {'lat': -37.73661167010727, 'lng': 145.0041834298927}, 'southwest': {'lat': -37.73931132989271, 'lng': 145.0014837701073}}}, 'name': 'APM', 'opening_hours': {'open_now': False}, 'place_id': 'ChIJNfhu6VFF1moRsaT09d10ZfU'}], 'status': 'OK'}]","[{'html_attributions': [], 'result': {'address_components': [{'long_name': 'Shop 1', 'short_name': 'Shop 1', 'types': ['subpremise']}, {'long_name': '31-35', 'short_name': '31-35', 'types': ['street_number']}, {'long_name': 'Johnson Street', 'short_name': 'Johnson St', 'types': ['route']}, {'long_name': 'Reservoir', 'short_name': 'Reservoir', 'types': ['locality', 'political']}, {'long_name': 'Darebin City', 'short_name': 'Darebin', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Victoria', 'short_name': 'VIC', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Australia', 'short_name': 'AU', 'types': ['country', 'political']}, {'long_name': '3073', 'short_name': '3073', 'types': ['postal_code']}], 'formatted_address': 'Shop 1/31-35 Johnson St, Reservoir VIC 3073, Australia', 'formatted_phone_number': '1300 366 047', 'url': 'https://maps.google.com/?cid=7268995667132898102', 'website': 'https://apm.net.au/?utm_source=google&utm_medium=organic&utm_campaign=gmb&utm_term=vic&utm_content=reservoir'}, 'status': 'OK'}]"
DES-Employment Support Service,APM Employment Services,RINGWOOD,VIC,All Client Types,3,"[{'candidates': [{'geometry': {'location': {'lat': -37.8120822, 'lng': 145.22687}, 'viewport': {'northeast': {'lat': -37.81073417010728, 'lng': 145.2284621298927}, 'southwest': {'lat': -37.81343382989272, 'lng': 145.2257624701072}}}, 'name': 'APM', 'opening_hours': {'open_now': False}, 'place_id': 'ChIJ29qh62U51moRai9fw2r8FKw'}, {'geometry': {'location': {'lat': -37.8200365, 'lng': 145.2135586}, 'viewport': {'northeast': {'lat': -37.81868662010728, 'lng': 145.2148078298927}, 'southwest': {'lat': -37.82138627989272, 'lng': 145.2121081701073}}}, 'name': 'APM', 'opening_hours': {'open_now': False}, 'place_id': 'ChIJF9wcSyo51moRqKUZdrGmI3Y'}], 'status': 'OK'}]","[{'html_attributions': [], 'result': {'address_components': [{'long_name': '41-43', 'short_name': '41-43', 'types': ['street_number']}, {'long_name': 'Ringwood Street', 'short_name': 'Ringwood St', 'types': ['route']}, {'long_name': 'Ringwood', 'short_name': 'Ringwood', 'types': ['locality', 'political']}, {'long_name': 'Maroondah City', 'short_name': 'Maroondah', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Victoria', 'short_name': 'VIC', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Australia', 'short_name': 'AU', 'types': ['country', 'political']}, {'long_name': '3134', 'short_name': '3134', 'types': ['postal_code']}], 'formatted_address': 'Suites 3 & 4, 41-43 Ringwood St, Ringwood VIC 3134, Australia', 'formatted_phone_number': '(03) 9879 1721', 'url': 'https://maps.google.com/?cid=12399813209532346218', 'website': 'https://apm.net.au/?utm_source=google&utm_medium=organic&utm_campaign=gmb&utm_term=vic&utm_content=ringwood'}, 'status': 'OK'}]"
DES-Employment Support Service,APM Employment Services,ROSEBUD,VIC,All Client Types,4,"[{'candidates': [{'geometry': {'location': {'lat': -38.3569554, 'lng': 144.9036905}, 'viewport': {'northeast': {'lat': -38.35560632010728, 'lng': 144.9051701798927}, 'southwest': {'lat': -38.35830597989273, 'lng': 144.9024705201073}}}, 'name': 'APM', 'opening_hours': {'open_now': False}, 'place_id': 'ChIJC9uHrZHJ1WoRkKSVkTMbbFM'}], 'status': 'OK'}]","[{'html_attributions': [], 'result': {'address_components': [{'long_name': 'Suite 1', 'short_name': 'Suite 1', 'types': ['subpremise']}, {'long_name': '10-16', 'short_name': '10-16', 'types': ['street_number']}, {'long_name': 'Ninth Avenue', 'short_name': 'Ninth Ave', 'types': ['route']}, {'long_name': 'Rosebud', 'short_name': 'Rosebud', 'types': ['locality', 'political']}, {'long_name': 'Shire of Mornington Peninsula', 'short_name': 'Shire of Mornington Peninsula', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Victoria', 'short_name': 'VIC', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Australia', 'short_name': 'AU', 'types': ['country', 'political']}, {'long_name': '3939', 'short_name': '3939', 'types': ['postal_code']}], 'formatted_address': 'Suite 1/10-16 Ninth Ave, Rosebud VIC 3939, Australia', 'formatted_phone_number': '(03) 5982 1142', 'url': 'https://maps.google.com/?cid=6011209510932554896', 'website': 'https://apm.net.au/?utm_source=google&utm_medium=organic&utm_campaign=gmb&utm_term=vic&utm_content=rosebud'}, 'status': 'OK'}]"
DES-Employment Support Service,APM Employment Services,ROWVILLE,VIC,All Client Types,5,"[{'candidates': [{'geometry': {'location': {'lat': -37.9175822, 'lng': 145.2377063}, 'viewport': {'northeast': {'lat': -37.91644437010728, 'lng': 145.2388946798927}, 'southwest': {'lat': -37.91914402989272, 'lng': 145.2361950201073}}}, 'name': 'APM', 'opening_hours': {'open_now': False}, 'place_id': 'ChIJtRy5-Yo91moRTa-xPlIpeZc'}], 'status': 'OK'}]","[{'html_attributions': [], 'result': {'address_components': [{'long_name': 'Shop 4', 'short_name': 'Shop 4', 'types': ['subpremise']}, {'long_name': '7', 'short_name': '7', 'types': ['street_number']}, {'long_name': 'Fulham Road', 'short_name': 'Fulham Rd', 'types': ['route']}, {'long_name': 'Rowville', 'short_name': 'Rowville', 'types': ['locality', 'political']}, {'long_name': 'City of Knox', 'short_name': 'Knox', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Victoria', 'short_name': 'VIC', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Australia', 'short_name': 'AU', 'types': ['country', 'political']}, {'long_name': '3178', 'short_name': '3178', 'types': ['postal_code']}], 'formatted_address': 'Shop 4/7 Fulham Rd, Rowville VIC 3178, Australia', 'formatted_phone_number': '(03) 9764 0756', 'url': 'https://maps.google.com/?cid=10914800605124996941', 'website': 'https://apm.net.au/?utm_source=google&utm_medium=organic&utm_campaign=gmb&utm_term=vic&utm_content=rowville'}, 'status': 'OK'}]"
